generation,First_Individual_First_Chromosome_X_Count,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
289,43,106.694,105.079,108.392,149.724,149.789,148.515,149.65,0.712601,0.701513,0.72984,0.131491,0.14281,240.9,0.023362,0.0272253
290,49,106.989,105.084,108.398,152.005,149.796,148.523,149.661,0.703852,0.701513,0.729841,0.15649,0.142806,293.274,-0.0170767,0.0272235
291,50,106.859,105.088,108.405,148.492,149.802,148.531,149.671,0.71963,0.701512,0.729842,0.186504,0.142801,337.475,0.0635584,0.0272218
292,66,106.912,105.092,108.411,150.314,149.808,148.539,149.681,0.711261,0.701511,0.729843,0.110748,0.142797,204.096,-0.0188777,0.0272202
293,56,106.862,105.096,108.416,149.765,149.814,148.547,149.69,0.713529,0.701511,0.729844,0.129625,0.142793,237.576,-0.0667766,0.0272186
294,63,106.866,105.1,108.422,152.102,149.82,148.555,149.699,0.702592,0.70151,0.729845,0.142971,0.142789,268.196,0.0316599,0.0272171
295,43,106.959,105.104,108.427,153.395,149.825,148.562,149.708,0.697277,0.70151,0.729845,0.131701,0.142785,250.211,0.0298377,0.0272156
296,70,107.046,105.107,108.433,150.522,149.831,148.569,149.717,0.711165,0.701509,0.729846,0.10779,0.142781,199.059,0.0195383,0.0272141
297,44,107.198,105.111,108.438,149.48,149.836,148.576,149.726,0.717141,0.701509,0.729847,0.113195,0.142777,206.872,-0.0174991,0.0272127
298,42,107.262,105.114,108.443,149.352,149.841,148.583,149.734,0.718185,0.701508,0.729848,0.11682,0.142774,213.224,0.0581964,0.0272113
299,51,107.236,105.118,108.448,152.317,149.846,148.589,149.742,0.704032,0.701508,0.729849,0.168313,0.14277,316.404,-0.00915034,0.02721
300,59,107.228,105.121,108.453,153.57,149.85,148.596,149.75,0.698236,0.701507,0.729849,0.107467,0.142767,204.518,-0.0346231,0.0272087
301,52,107.285,105.124,108.457,153.677,149.855,148.602,149.757,0.69812,0.701507,0.72985,0.16085,0.142764,306.431,-0.00296944,0.0272074
302,52,107.267,105.127,108.462,153.318,149.859,148.608,149.764,0.699638,0.701506,0.729851,0.101454,0.142761,192.601,-0.0038294,0.0272062
303,49,107.311,105.13,108.466,155.42,149.864,148.614,149.771,0.690454,0.701506,0.729851,0.0584859,0.142758,113.321,-0.0887313,0.027205
304,52,107.193,105.133,108.47,153.648,149.868,148.619,149.778,0.697656,0.701506,0.729852,0.138743,0.142755,264.24,0.0963026,0.0272039
305,54,107.129,105.136,108.474,157.496,149.872,148.625,149.785,0.680199,0.701505,0.729853,0.149677,0.142752,295.842,0.070633,0.0272028
306,62,106.794,105.139,108.478,153.887,149.876,148.63,149.791,0.693977,0.701505,0.729853,0.150464,0.142749,287.235,0.0694568,0.0272017
307,65,106.63,105.141,108.482,154.151,149.88,148.635,149.798,0.691723,0.701504,0.729854,0.09709,0.142746,185.82,-0.0444147,0.0272006
308,50,106.595,105.144,108.486,158.53,149.883,148.64,149.804,0.672397,0.701504,0.729855,0.14689,0.142743,293.197,0.0671576,0.0271996
309,66,106.448,105.146,108.49,153.935,149.887,148.645,149.81,0.691511,0.701504,0.729855,0.112097,0.142741,214.093,-0.015968,0.0271986
310,59,106.378,105.148,108.493,153.291,149.89,148.65,149.815,0.693964,0.701503,0.729856,0.159323,0.142738,302.379,0.0421044,0.0271976
311,55,106.189,105.151,108.496,153.45,149.894,148.654,149.821,0.692013,0.701503,0.729856,0.153348,0.142736,291.491,0.0831109,0.0271967
312,51,106.147,105.153,108.5,153.862,149.897,148.659,149.826,0.689886,0.701503,0.729857,0.0948804,0.142734,181.082,0.0650126,0.0271958
313,62,105.91,105.155,108.503,156.316,149.9,148.663,149.831,0.677538,0.701502,0.729857,0.129241,0.142731,252.584,0.0147516,0.0271949
314,51,105.674,105.157,108.506,152.51,149.903,148.667,149.836,0.692904,0.701502,0.729858,0.106305,0.142729,200.215,0.036373,0.0271941
315,47,105.739,105.159,108.509,149.333,149.906,148.672,149.841,0.708077,0.701502,0.729858,0.139613,0.142727,254.776,-0.0467674,0.0271932
316,62,105.821,105.161,108.512,151.112,149.909,148.676,149.846,0.700284,0.701501,0.729859,0.166645,0.142725,309.556,0.0068769,0.0271924
317,52,105.636,105.163,108.515,150.828,149.912,148.679,149.851,0.700375,0.701501,0.729859,0.144179,0.142723,267.07,-0.0484396,0.0271916
318,50,105.677,105.165,108.518,149.744,149.914,148.683,149.855,0.705716,0.701501,0.729859,0.0959332,0.142721,175.79,0.00155612,0.0271909
319,66,105.725,105.167,108.521,149.358,149.917,148.687,149.86,0.707864,0.701501,0.72986,0.102321,0.142719,186.771,0.0187206,0.0271901
320,47,105.602,105.169,108.523,151.749,149.92,148.69,149.864,0.695898,0.7015,0.72986,0.103446,0.142717,193.374,0.0150679,0.0271894
321,66,105.357,105.17,108.526,149.658,149.922,148.694,149.868,0.703981,0.7015,0.729861,0.100864,0.142715,184.667,0.00990898,0.0271887
322,60,105.258,105.172,108.528,150.882,149.924,148.697,149.872,0.697616,0.7015,0.729861,0.172821,0.142713,320.299,0.160808,0.0271881
323,42,105.27,105.174,108.531,152.005,149.927,148.7,149.876,0.692541,0.7015,0.729861,0.142458,0.142712,266.977,-0.0524598,0.0271874
324,64,105.299,105.175,108.533,148.074,149.929,148.703,149.879,0.711124,0.7015,0.729862,0.187605,0.14271,338.034,0.0815793,0.0271868
325,71,105.408,105.177,108.535,149.442,149.931,148.706,149.883,0.705342,0.701499,0.729862,0.132269,0.142708,241.641,-0.0490085,0.0271861
326,66,105.281,105.178,108.537,151.837,149.933,148.709,149.886,0.693383,0.701499,0.729863,0.145632,0.142707,272.472,-0.00315045,0.0271855
327,66,105.027,105.179,108.54,147.318,149.935,148.712,149.89,0.71293,0.701499,0.729863,0.171551,0.142705,306.744,0.0779964,0.027185
328,54,105.069,105.181,108.542,150.438,149.937,148.715,149.893,0.698423,0.701499,0.729863,0.146557,0.142704,270.421,0.00368804,0.0271844
