generation,Mean_X_Count,Approx_Mean,NB_Mean,Sim_Variance,Approx_Variance,NB_Variance,Charles_Mean,Sim_P,Approx_P,NB_P,Sim_Skewness,NB_Skewness,Sim_Third_Moment,Sim_Excess_kurtosis,NB_Excess_Kurtosis
18229,93.9021,90.22556390977407,91.65772105606486,99.07151559000002,99.99999999999962,99.36676571790694,99.99999999999963,0.9478213736893534,0.9022556390977441,0.9224182793296568,0.11856519249206685,0.11719301783890637,116.91774244251887,0.14641073385525782,0.015569441660672654
18230,93.992,90.22556390977407,91.65772105606486,99.05933600000067,99.99999999999962,99.36676571790694,99.99999999999963,0.9488454475406475,0.9022556390977441,0.9224182793296568,0.14614425723654678,0.11719301783890637,144.08702457599682,0.023771435225897974,0.015569441660672654
18231,94.2461,90.22556390977407,91.65772105606486,99.24993478999997,99.99999999999962,99.36676571790694,99.99999999999963,0.9495834954391916,0.9022556390977441,0.9224182793296568,0.10688689227136454,0.11719301783890637,105.68656804636768,-0.008264295467317329,0.015569441660672654
18232,94.2746,90.22556390977407,91.65772105606486,99.29879483999979,99.99999999999962,99.36676571790694,99.99999999999963,0.9494032646811548,0.9022556390977441,0.9224182793296568,0.12002839882701698,0.11719301783890637,118.76814655387334,0.026200080685231608,0.015569441660672654
18233,94.2957,90.22556390977407,91.65772105606486,100.62606151000121,99.99999999999962,99.36676571790694,99.99999999999963,0.9370902387015113,0.9022556390977441,0.9224182793296568,0.11535884547148235,0.11719301783890637,116.4438652729911,-0.04240243335638416,0.015569441660672654
18234,94.2893,90.22556390977407,91.65772105606486,101.66800550999929,99.99999999999962,99.36676571790694,99.99999999999963,0.9274235245101412,0.9022556390977441,0.9224182793296568,0.10341345233790529,0.11719301783890637,106.01162520191805,0.02446651693887425,0.015569441660672654
18235,94.2174,90.22556390977407,91.65772105606486,104.12473723999713,99.99999999999962,99.36676571790694,99.99999999999963,0.9048512629889119,0.9022556390977441,0.9224182793296568,0.13905742286905826,0.11719301783890637,147.74917144804996,0.027271361576564956,0.015569441660672654
18236,94.2084,90.22556390977407,91.65772105606486,105.77356943999999,99.99999999999962,99.36676571790694,99.99999999999963,0.8906610649406105,0.9022556390977441,0.9224182793296568,0.1253791811185326,0.11719301783890637,136.3927134574075,0.008710986899461926,0.015569441660672654
18237,94.1389,90.22556390977407,91.65772105606486,101.58920679000069,99.99999999999962,99.36676571790694,99.99999999999963,0.9266624179338114,0.9022556390977441,0.9224182793296568,0.13120199780112782,0.11719301783890637,134.3419977037314,0.017329598345422248,0.015569441660672654
18238,94.1676,90.22556390977407,91.65772105606486,100.6429102399993,99.99999999999962,99.36676571790694,99.99999999999963,0.9356605425602471,0.9022556390977441,0.9224182793296568,0.16249487660603834,0.11719301783890637,164.06443688755596,0.059710112779761904,0.015569441660672654
18239,94.3419,90.22556390977407,91.65772105606486,101.94700439000096,99.99999999999962,99.36676571790694,99.99999999999963,0.9254013942292268,0.9022556390977441,0.9224182793296568,0.12028822097129281,0.11719301783890637,123.81829098811981,-0.09892996727975589,0.015569441660672654
18240,94.2666,90.22556390977407,91.65772105606486,100.82352443999835,99.99999999999962,99.36676571790694,99.99999999999963,0.9349663238176078,0.9022556390977441,0.9224182793296568,0.07834600882646867,0.11719301783890637,79.31579640859282,0.010916244850014412,0.015569441660672654
18241,94.272,90.22556390977407,91.65772105606486,104.37061600000003,99.99999999999962,99.36676571790694,99.99999999999963,0.9032427287772258,0.9022556390977441,0.9224182793296568,0.09298809181471412,0.11719301783890637,99.15045369600097,0.014349105908923132,0.015569441660672654
18242,94.1185,90.22556390977407,91.65772105606486,103.68625775000083,99.99999999999962,99.36676571790694,99.99999999999963,0.9077239553473926,0.9022556390977441,0.9224182793296568,0.12000031233282367,0.11719301783890637,126.69637136325333,0.015606106439313816,0.015569441660672654
18243,93.9413,90.22556390977407,91.65772105606486,102.87445431000064,99.99999999999962,99.36676571790694,99.99999999999963,0.9131645035697435,0.9022556390977441,0.9224182793296568,0.07437437246097614,0.11719301783890637,77.60409366599458,-0.00838679714443158,0.015569441660672654
18244,93.8882,90.22556390977407,91.65772105606486,103.71710076000089,99.99999999999962,99.36676571790694,99.99999999999963,0.9052335565882742,0.9022556390977441,0.9224182793296568,0.10770291113956007,0.11719301783890637,113.763513009938,-0.009589450627213836,0.015569441660672654
18245,93.7403,90.22556390977407,91.65772105606486,103.09045590999904,99.99999999999962,99.36676571790694,99.99999999999963,0.9093014399105773,0.9022556390977441,0.9224182793296568,0.15513666342650406,0.11719301783890637,162.38358942964882,-0.050048310069887414,0.015569441660672654
